Rank,Puzzles,Solutions
11,2 2 2 5 7 7 7 9 9 10 11 13 15 15 17 18 19 20 20 20,(((2*(((7+(7+(9+(9+(10+(11+(13+(15+(15+(17+(18+(19+(20+(20+20))))))))))))))/7)-5))-2)/2)
12,1 2 3 3 5 5 6 6 8 8 10 11 12 14 18 19 19 19 20 20,(1*(2/(3/(((5+(6+(6+(8+(8+(10+(11+(12+(14+(18+(19+(19+(19+(20+20))))))))))))))/5)-3))))
13,1 2 5 5 6 7 7 8 10 12 12 13 14 16 17 18 18 18 19 20,(1/(2/(5+((6+(7+(7+(8+(10+(12+(12+(13+(14+(16+(17+(18+(18+(18+(19+20)))))))))))))))/5))))
14,2 2 4 7 8 10 11 11 12 12 12 12 13 17 17 17 18 19 19 19,((2-((7+(8+(10-(11+(11+(12+(12+(12+(12+(13+(17+(17+(17+(18+(19+(19+19))))))))))))))))/4))/2)
15,6 8 9 10 11 11 11 12 13 13 14 15 16 16 17 17 18 19 19 20,((8-(9-(10+((11+(11+(12+(13+(13+(14+(15+(16+(16+(17+(17+(18+(19+(19+20))))))))))))))/11))))-6)
16,1 2 4 4 4 5 5 6 6 11 12 14 16 16 17 17 18 18 18 19,(1-(2/(4*(4/(4+(5-(5+(6+(6+(11+(12+(14+(16+(16+(17+(17+(18+(18+(18+19)))))))))))))))))))
17,1 1 1 3 3 5 6 8 10 11 14 16 17 17 17 18 19 19 20 20,(1-(1/(1*(3*(3/(5-(6+(8+(10+(11+(14+(16+(17+(17+(17+(18+(19+(19+(20+20)))))))))))))))))))
18,2 3 6 6 7 9 9 9 12 12 12 13 13 17 17 18 18 19 19 20,(2/(3*(6/(6-(7-(9+(9+(9+(12+(12+(12+(13+(13+(17+(17+(18+(18+(19+(19+20)))))))))))))))))))
19,2 3 4 4 7 7 9 10 10 11 11 12 12 12 13 15 16 17 20 20,(((4-((7-(7+(9+(10+(10+(11+(11+(12+(12+(12+(13+(15+(16+(17+(20+20)))))))))))))))/4))-3)/2)
20,3 4 4 4 6 6 8 8 8 9 10 12 15 15 15 17 18 18 19 20,(3*(((((6+(8+(8+(8+(9+(10+(12+(15+(15+(15+(17+(18+(18+(19+20))))))))))))))-6)/4)/4)-4))
21,1 2 2 4 4 4 7 10 11 11 13 13 15 15 15 16 17 17 20 20,(((((4+(4+(7+(10+(11+(11+(13+(13+(15+(15+(15+(16+(17+(17+(20+20)))))))))))))))/4)-2)/2)-1)
22,1 2 3 4 7 7 8 8 9 9 10 11 12 13 13 14 16 17 17 18,((((4+((7+(8+(8+(9+(9+(10+(11+(12+(13+(13+(14+(16+(17+(17+18))))))))))))))/7))-3)-2)-1)
23,1 2 2 3 3 5 7 8 8 10 10 11 12 12 14 14 15 16 18 20,(1*(2+(2+(((5+(7+(8+(8+(10+(10+(11+(12+(12+(14+(14+(15+(16+(18+20))))))))))))))/3)/3))))
24,3 4 6 9 10 11 11 12 12 13 14 14 15 16 16 17 17 18 20 20,(3*(4-(((10-(11+(11+(12+(12+(13+(14+(14+(15+(16+(16+(17+(17+(18+(20+20)))))))))))))))/9)/6)))
25,1 3 5 6 6 6 8 9 11 12 15 15 16 16 16 18 18 18 18 20,(1*(3/(5/(6-((6-(8+(9+(11+(12+(15+(15+(16+(16+(16+(18+(18+(18+(18+20))))))))))))))/6)))))
26,1 1 2 3 3 3 5 6 7 8 11 13 13 16 17 17 19 20 20 20,(1*(1+(2-(((3-(5+(6+(7+(8+(11+(13+(13+(16+(17+(17+(19+(20+(20+20))))))))))))))/3)/3))))
