Rank,Puzzles,Solutions
334,1 1 4 12,((4*12)/(1+1))
335,3 8 10 15,((3-15)*(8-10))
336,1 3 5 12,(1*((5-3)*12))
337,3 7 11 11,(3*(7+(11/11)))
338,1 3 8 17,(((17-8)-1)*3)
339,10 13 13 14,(10-(13-(13+14)))
340,2 10 10 12,(2*((10+12)-10))
341,7 10 10 18,(7-((10/10)-18))
342,9 13 13 18,((13+13)-(18/9))
343,1 8 8 12,((1+(8/8))*12)
344,7 9 11 14,((7*(14-9))-11)
345,5 6 10 10,((6*(10+10))/5)
346,7 9 14 19,(((9-7)*19)-14)
347,4 5 10 10,(4+((10*10)/5))
348,12 13 16 19,(12*((13+19)/16))
349,5 9 9 11,((9+(9+11))-5)
350,4 5 5 16,(4*((16-5)-5))
351,5 18 19 19,(5+(18+(19/19)))
352,4 8 10 11,((4+(10-11))*8)
353,6 6 15 17,(6*(6+(15-17)))
354,3 11 12 15,(3*(11+(12-15)))
355,2 4 5 5,((2*(5+5))+4)
356,2 8 8 8,((2*(8+8))-8)
357,5 5 7 10,(((5+7)*10)/5)
358,3 14 15 17,(15-(3*(14-17)))
359,7 8 9 14,((8+(9+14))-7)
360,1 3 11 18,((1-(11-18))*3)
361,9 11 11 18,((18/9)+(11+11))
362,4 4 8 10,(4*(4-(8-10)))
363,6 14 18 18,(((14*18)/6)-18)
364,1 2 7 16,((2+(7+16))-1)
365,5 17 17 19,(5-(17-(17+19)))
366,11 13 17 17,(11+(13+(17-17)))
367,5 8 16 16,((5*(16-8))-16)
368,2 9 12 16,(2*(9/(12/16)))
369,10 16 16 16,(((16*16)-16)/10)
370,8 13 15 16,(((15-13)*16)-8)
371,6 8 10 13,((6+(10-13))*8)
372,4 8 16 17,((4+(16-17))*8)
373,6 8 13 18,((18/6)+(8+13))
374,11 14 15 15,(11+(14-(15/15)))
375,12 15 15 19,(19-(15/(12-15)))
376,1 2 6 6,(1*(2*(6+6)))
377,4 7 10 10,(4*(7-(10/10)))
378,2 3 7 16,((3+(7+16))-2)
379,4 7 13 15,(((7-4)*13)-15)
380,1 10 12 19,((1+19)/(10/12))
381,3 14 18 18,(((18-14)*18)/3)
382,2 7 11 12,(((11-7)*12)/2)
383,9 10 11 13,((10-9)*(11+13))
384,4 10 10 11,((4*11)-(10+10))
385,1 2 10 17,(((10+17)-2)-1)
386,3 17 18 19,(18-(3*(17-19)))
387,1 2 6 19,(1-(2-(6+19)))
388,3 5 5 18,(3*((18-5)-5))
389,13 16 18 18,(18-(18/(13-16)))
390,1 1 7 15,(1+(1+(7+15)))
391,1 5 10 18,(1-(5-(10+18)))
392,3 7 14 14,(3-(7-(14+14)))
393,6 8 16 19,((6+(16-19))*8)
394,1 4 7 16,((7-1)/(4/16))
395,1 8 11 15,(((15-11)-1)*8)
396,5 6 13 13,((5-(13/13))*6)
397,2 6 6 7,((6+(6*7))/2)
398,5 10 11 18,(5-(10-(11+18)))
399,2 2 14 18,(18-((2-14)/2))
400,4 18 18 19,(4+((18/18)+19))
401,5 6 8 19,(((6*8)-19)-5)
402,4 5 8 19,(4*((19-8)-5))
403,2 6 10 18,(2-(6-(10+18)))
404,3 3 4 14,(3+(3+(4+14)))
405,3 6 11 14,((6*11)-(3*14))
406,2 5 6 16,((6/2)+(5+16))
407,9 9 11 12,((9/9)+(11+12))
408,5 5 10 13,((5/5)+(10+13))
409,7 8 12 17,(((17-8)-7)*12)
410,3 16 18 18,(18-(3*(16-18)))
411,4 4 10 17,((4*(17-10))-4)
412,5 5 5 19,((5+(5+19))-5)
413,1 4 10 17,(1-(4-(10+17)))
414,4 5 7 9,(((9-5)*7)-4)
415,5 8 10 14,(14-(5*(8-10)))
416,4 4 6 19,((6+19)-(4/4))
417,6 7 15 18,(6*(7+(15-18)))
418,6 14 14 18,(6-(14-(14+18)))
419,4 5 19 19,(4*(5+(19/19)))
420,3 10 12 18,((3*10)+(12-18))
421,6 7 8 15,((7+(8+15))-6)
422,1 7 11 14,((1+7)*(14-11))
423,6 6 12 16,(6+((12/6)+16))
424,1 6 7 12,((6+(7+12))-1)
425,8 13 18 19,(8/((19-13)/18))
426,5 9 11 17,(5-(9-(11+17)))
427,3 6 14 15,((3-(14-15))*6)
428,4 8 12 17,((4*(17-8))-12)
429,2 4 14 14,((2-(4/14))*14)
430,6 9 12 17,(6*(9+(12-17)))
431,10 12 17 18,((12*17)-(10*18))
432,3 6 10 17,(3-(6-(10+17)))
433,2 4 13 18,(((4+18)/2)+13)
434,2 8 17 17,(((17+17)-8)-2)
435,2 5 5 19,((2*5)-(5-19))
436,10 11 13 16,(10+(11-(13-16)))
437,2 4 6 15,(((4*15)/2)-6)
438,2 8 10 14,(2*(8-(10-14)))
439,10 15 16 19,((10*(19-15))-16)
440,1 2 4 15,(1+((2*4)+15))
441,4 7 8 19,(4-(7-(8+19)))
442,7 7 19 19,(((19+19)-7)-7)
443,6 12 13 14,((12*14)/(13-6))
444,3 4 5 6,((3-(4-5))*6)
445,4 11 12 18,((4+18)/(11/12))
446,2 7 14 15,(2-(7-(14+15)))
447,3 5 6 19,(3*((19-6)-5))
448,3 4 8 11,(3+((4*8)-11))
449,1 5 9 10,(1*(5+(9+10)))
450,8 8 16 18,(8-(8*(16-18)))
451,7 7 12 16,(((16-7)-7)*12)
452,5 8 13 15,(((8-5)*13)-15)
453,8 8 9 15,((8+(9+15))-8)
454,5 8 9 17,((5-8)*(9-17))
455,5 7 10 13,((5-13)*(7-10))
456,1 8 9 11,(9/((11/8)-1))
457,2 3 9 9,(2*((9/3)+9))
458,6 13 14 17,(6-(13-(14+17)))
459,2 3 8 13,((2*(3+13))-8)
460,1 6 10 13,((1-(10-13))*6)
461,2 3 11 18,(((11+18)-3)-2)
462,12 13 17 18,(12+(13+(17-18)))
463,4 6 10 17,(((6-4)*17)-10)
464,3 9 12 17,(((9+12)/3)+17)
465,2 3 4 15,(2+(3+(4+15)))
466,1 9 17 17,(((17+17)-9)-1)
467,2 2 5 11,(2*(2*(11-5)))
468,4 6 6 19,(4+((6/6)+19))
469,2 6 9 10,((2-10)*(6-9))
470,3 3 3 6,((3*(3+6))-3)
471,8 12 18 18,(8/(12/(18+18)))
472,4 7 19 19,(4*(7-(19/19)))
473,1 9 13 19,(1-(9-(13+19)))
474,3 3 5 15,(((5*15)-3)/3)
475,3 12 12 18,((12*(18-12))/3)
476,8 11 14 16,((8-16)*(11-14))
477,3 4 11 12,((4+(11+12))-3)
478,3 8 14 15,(3-(8-(14+15)))
479,6 11 12 13,(12-(6*(11-13)))
480,10 14 16 18,((10*(18-14))-16)
481,1 1 4 14,(((1+1)*14)-4)
482,3 4 6 18,(3*((18-6)-4))
483,9 9 13 19,(9+(9-(13-19)))
484,2 10 17 17,((2-(10/17))*17)
485,1 3 8 19,(1*((8+19)-3))
486,1 8 12 12,(12/((12/8)-1))
487,1 8 15 17,(1*((15+17)-8))
488,2 10 10 14,((2*10)-(10-14))
489,5 6 10 12,(5*(6-(12/10)))
490,7 13 15 15,(7-(13-(15+15)))
491,1 7 9 10,((1-9)*(7-10))
492,6 7 9 16,(6-(7-(9+16)))
493,4 5 10 12,(4*(5/(10/12)))
494,2 2 8 12,(2+(2+(8+12)))
495,2 2 11 17,(((11+17)-2)-2)
496,12 12 17 17,(12+(12+(17-17)))
497,7 12 12 13,((12+(12*13))/7)
498,4 5 5 18,((5+(5+18))-4)
499,2 5 8 9,(2+(5+(8+9)))
500,3 6 8 13,((6+(8+13))-3)
501,3 11 12 17,(((17-11)*12)/3)
502,2 4 5 7,((4*(5+7))/2)
503,4 7 7 11,((7*(11-7))-4)
504,2 8 8 10,((8+(8+10))-2)
505,6 11 18 19,(((19-11)*18)/6)
506,2 8 11 15,(2*(8-(11-15)))
507,4 9 18 19,(((18+19)-9)-4)
508,4 16 17 19,(4-(16-(17+19)))
509,7 8 9 16,(7-(8-(9+16)))
510,4 4 8 12,(4*(4/(8/12)))
511,1 2 7 18,(1-(2-(7+18)))
512,11 13 14 14,(11+(13+(14-14)))
513,5 7 8 9,((5+(7-9))*8)
514,11 13 17 19,(((13*19)+17)/11)
515,5 8 16 18,((5+(16-18))*8)
516,2 9 12 18,((2*9)-(12-18))
517,2 13 16 17,(2*(13+(16-17)))
518,1 6 8 9,(1+(6+(8+9)))
519,4 6 9 9,(4*(6+(9-9)))
520,10 16 16 18,(10+(16+(16-18)))
521,1 6 11 14,((1-(11-14))*6)
522,3 9 10 13,((9*(13-10))-3)
523,6 6 6 10,((6*10)-(6*6))
524,6 6 9 15,((6+(9+15))-6)
525,3 13 17 17,(3-(13-(17+17)))
526,6 10 13 14,(((10*13)+14)/6)
527,2 5 14 15,(((5+15)/2)+14)
528,8 13 15 18,(8+(13-(15-18)))
529,6 8 10 15,(((10-8)*15)-6)
530,4 15 15 19,(4+((15/15)+19))
531,7 11 11 16,(7+((11/11)+16))
532,2 4 8 8,(2*((8+8)-4))
533,1 2 6 8,(1/(2/(6*8)))
534,4 7 10 12,(12-(4*(7-10)))
535,3 5 5 7,(3*((5/5)+7))
536,4 7 13 17,((7*(17-13))-4)
537,2 8 14 16,(2-(8-(14+16)))
538,3 5 8 12,(((3*5)-12)*8)
539,2 7 8 9,((2*(7+9))-8)
540,2 7 11 14,(2+((11*14)/7))
541,9 10 11 15,(9-((10-11)*15))
542,1 5 6 9,(1*((9-5)*6))
543,2 6 7 19,((2*6)-(7-19))
544,1 2 10 19,(1*((10/2)+19))
545,4 10 13 18,(4/((13-10)/18))
546,7 7 9 15,((7+(9+15))-7)
547,1 1 7 17,((1+(7+17))-1)
548,2 10 11 15,((2*10)-(11-15))
549,1 13 13 15,((1-13)*(13-15))
550,4 6 15 15,(4*(6+(15-15)))
551,5 6 8 8,((5+(6-8))*8)
552,10 10 12 13,((12+13)-(10/10))
553,4 5 8 8,(4*(5+(8/8)))
554,3 9 9 16,((9*16)/(9-3))
555,1 4 7 18,(18/((7/4)-1))
556,1 7 12 13,((1+13)/(7/12))
557,2 6 6 9,(((6*9)-6)/2)
558,11 15 17 19,(11+(15+(17-19)))
559,8 11 18 18,(18-(18/(8-11)))
560,2 11 12 18,((12*18)/(11-2))
561,8 11 11 15,(8+((11/11)+15))
562,3 3 11 19,(((11+19)-3)-3)
563,3 3 4 16,((3+3)/(4/16))
564,3 6 11 16,(3-(6-(11+16)))
565,11 11 12 13,(11-((11-12)*13))
566,1 3 9 16,(16/(1-(3/9)))
567,4 4 6 8,(4*(4-(6-8)))
568,2 5 6 18,(((5*6)+18)/2)
569,5 5 17 18,((5*5)+(17-18))
570,4 9 12 17,(4-(9-(12+17)))
571,9 9 11 14,((11+14)-(9/9))
572,1 4 6 8,((1-(4-6))*8)
573,5 5 10 15,((10+15)-(5/5))
574,1 4 18 18,(18-(18/(1-4)))
575,9 12 18 18,((9*(12/18))+18)
576,8 10 13 13,(8-(10-(13+13)))
577,4 12 13 14,((13+14)-(12/4))
578,1 4 10 19,(((10+19)-4)-1)
579,4 5 7 11,(4-(5*(7-11)))
580,5 8 10 16,(((10-5)*8)-16)
581,12 12 14 16,(12*((12+16)/14))
582,6 7 8 17,(6-(7-(8+17)))
583,2 5 5 8,((2+(5/5))*8)
584,6 6 12 18,(6*(6*(12/18)))
585,2 4 9 9,(2+(4+(9+9)))
586,4 7 8 8,(4*(7-(8/8)))
587,2 5 17 18,(18-((5-17)/2))
588,3 6 14 17,((3/(6/14))+17)
589,3 14 16 16,(3/((16-14)/16))
590,9 11 13 13,(9-(11-(13+13)))
591,3 5 18 18,(((5*18)-18)/3)
592,1 2 9 11,(((1+2)*11)-9)
593,3 6 10 19,((3/(6/10))+19)
594,1 2 8 15,((2+(8+15))-1)
595,3 5 11 15,(3-(5-(11+15)))
596,5 13 15 15,(((13*15)/5)-15)
597,2 4 6 17,((6/2)+(4+17))
598,1 2 4 17,(1+(2+(4+17)))
599,1 5 9 12,(((5-1)*9)-12)
600,3 8 11 16,(((8*11)-16)/3)
601,2 3 4 4,((3*(4*4))/2)
602,8 8 9 17,(8+(8-(9-17)))
603,5 8 9 19,(5-((8-9)*19))
604,6 8 14 17,(17-(14/(6-8)))
605,5 7 10 15,((10/5)+(7+15))
606,1 8 9 13,(((13-9)-1)*8)
607,4 6 18 18,(4/(6/(18+18)))
608,5 6 11 11,((5-(11/11))*6)
609,2 3 8 15,((3+(8+15))-2)
610,1 6 10 15,(((10*15)/6)-1)
611,4 6 10 19,(19-(10/(4-6)))
612,3 9 12 19,((9+19)-(12/3))
613,5 6 7 13,((6*(7+13))/5)
614,2 3 4 17,((2*(17-3))-4)
615,2 6 9 12,((2+6)*(12-9))
616,9 10 12 12,((10-9)*(12+12))
617,2 6 8 16,((6*(16-8))/2)
618,1 9 10 16,(9/(1-(10/16)))
619,1 3 8 8,(((1+3)*8)-8)
620,10 11 16 19,(10+(11-(16-19)))
