Rank,Puzzles,Solutions
23,1 2 2 3 3 3 4 4 7 8 9 9 11 11 13 16 16 17 19 20,(1+(2-((3*(3+(3-(4+(4+(7+(8+(9+(9+(11+(11+(13+(16+(16+(17+(19+20))))))))))))))))/2)))
24,1 4 5 5 5 6 7 8 12 13 14 15 15 15 16 16 17 17 18 19,(1/(4/(5-(5*(5+(6-(7+(8+(12+(13+(14+(15+(15+(15+(16+(16+(17+(17+(18+19)))))))))))))))))))
25,1 2 4 4 5 8 9 9 9 9 10 11 14 14 15 15 17 17 19 20,(1-(2+(4-((5*(8+(9+(9+(9+(9+(10+(11+(14+(14+(15+(15+(17+(17+(19+20)))))))))))))))/4))))
26,2 4 5 5 6 6 8 9 10 11 11 12 13 14 14 15 15 16 19 19,(2*(4*(5-(5+((6-(8+(9+(10+(11+(11+(12+(13+(14+(14+(15+(15+(16+(19+19))))))))))))))/6)))))
27,1 2 3 4 5 6 7 7 8 8 8 8 11 13 14 15 18 18 19 20,(1*(2*(3*(4+((6+(7+(7+(8+(8+(8+(8+(11+(13+(14+(15+(18+(18+(19+20))))))))))))))/5)))))
28,2 4 5 6 8 8 9 10 10 10 11 12 14 15 15 16 17 17 18 20,(2*(4*(((8+(8+(9+(10+(10+(10+(11+(12+(14+(15+(15+(16+(17+(17+(18+20)))))))))))))))/6)-5)))
29,2 4 5 6 6 8 9 10 10 11 12 13 15 16 17 17 19 19 19 20,((((6*(6-(8-(9+(10+(10+(11+(12+(13+(15+(16+(17+(17+(19+(19+(19+20))))))))))))))))/5)-4)-2)
30,2 2 3 4 5 7 7 7 7 9 10 10 12 14 16 16 18 18 18 19,((((4*((7+(7+(7+(7+(9+(10+(10+(12+(14+(16+(16+(18+(18+(18+19))))))))))))))-5))/3)-2)-2)
31,2 3 4 5 5 6 10 10 10 11 12 13 13 14 14 17 17 18 18 20,((((5*(5-(6-(10+(10+(10+(11+(12+(13+(13+(14+(14+(17+(17+(18+(18+20))))))))))))))))/4)-3)-2)
32,1 2 5 6 6 8 10 13 13 13 15 15 15 15 15 16 18 18 19 19,((2+(5+(6+(6+(8+(10+(13+(13+(13+(15+(15+(15+(15+(15+(16+(18+(18+(19+19))))))))))))))))))-1)
33,1 2 3 5 5 5 7 7 7 10 10 11 11 12 13 17 18 18 19 20,(1*(2*(3*(5-((5-(7+(7+(7+(10+(10+(11+(11+(12+(13+(17+(18+(18+(19+20))))))))))))))/5)))))
34,1 2 3 5 6 6 6 7 8 8 11 12 13 15 16 17 17 17 19 20,(1/(2/(3*(5/(6/(6+(6+(7+(8+(8+(11+(12+(13+(15+(16+(17+(17+(17+(19+20)))))))))))))))))))
35,4 5 7 7 8 8 8 9 10 11 12 13 13 13 14 16 17 17 18 19,((5*(((8+(8+(8+(9+(10+(11+(12+(13+(13+(13+(14+(16+(17+(17+(18+19)))))))))))))))-7)-7))/4)
36,3 4 7 8 10 10 11 11 11 11 12 12 12 12 13 14 15 15 16 17,(((7+((10*(10+(11+(11+(11+(11+(12+(12+(12+(12+(13+(14+(15+(15+(16+17)))))))))))))))/8))-4)-3)
37,2 3 3 4 6 7 7 7 8 9 9 10 10 11 11 16 18 20 20 20,((3-(3*(4+(6+(7-(7+(7+(8+(9+(9+(10+(10+(11+(11+(16+(18+(20+(20+20))))))))))))))))))/2)
